rank,sweep_tier,hostile_prior_rank,title,year,venue,authors,doi,url,citations,query_source,source,concepts,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,abstract_excerpt,relevance_score,hostile_score
585,landscape,,Efficient Online Object Tracking Scheme for Challenging Scenarios,2021,Sensors,Khizer Mehmood; Ahmad Ali; Abdul Jalil; Baber Khan; et al.,https://doi.org/10.3390/s21248481,https://doi.org/10.3390/s21248481,15,occlusion aware object tracking robotics,openalex,Computer vision; Computer science; Artificial intelligence; Motion blur; Context (archaeology); Tracking (education),Build a spatial memory that remains useful as the robot moves through the world.,Recursive filtering with a motion and observation model.,misses are tolerable with a fixed temporal patience window; object absence can wait for later map revisits; enough object surface remains visible to constrain pose; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; map update schedule; occluder semantics,identity deletion during long robot self-occlusion; stale object map entries during manipulation; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Visual object tracking (VOT) is a vital part of various domains of computer vision applications such as surveillance, unmanned aerial vehicles (UAV), and medical diagnostics. In recent years, substantial improvement has been made to solve various challenges of VOT techniques such as change of scale, occlusions, motion blur, and illumination variations. This paper proposes a tracking algorithm in a spatiotemporal context (STC) framework. To overcome the limitations of STC based on scale variation, a max-pooling-based scale scheme is incorporated by maximizing over posterior probability. To avert target model from drift, an efficient mechanism is proposed for occlusion handling. Occlusion i...",46.713,62.713
586,landscape,,Digital Twin-Driven Human Robot Collaboration Using a Digital Human,2021,Sensors,Tsubasa Maruyama; Toshio Ueshiba; Mitsunori Tada; Haruki Toda; et al.,https://doi.org/10.3390/s21248266,https://doi.org/10.3390/s21248266,92,robotic perception object occlusion tracking,openalex,Robot; Scheduling (production processes); Human-robot interaction; Engineering; Simulation; Wireless,Improve robot or embodied perception under incomplete observations.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Advances are being made in applying digital twin (DT) and human-robot collaboration (HRC) to industrial fields for safe, effective, and flexible manufacturing. Using a DT for human modeling and simulation enables ergonomic assessment during working. In this study, a DT-driven HRC system was developed that measures the motions of a worker and simulates the working progress and physical load based on digital human (DH) technology. The proposed system contains virtual robot, DH, and production management modules that are integrated seamlessly via wireless communication. The virtual robot module contains the robot operating system and enables real-time control of the robot based on simulation...",46.705,46.705
587,landscape,,"A Metaverse: Taxonomy, Components, Applications, and Open Challenges",2022,IEEE Access,Sangmin Park; YoungGab Kim,https://doi.org/10.1109/access.2021.3140175,https://doi.org/10.1109/access.2021.3140175,1750,robotic perception object occlusion tracking,openalex,Computer science; Taxonomy (biology); Metaverse; Data science; World Wide Web; Human-computer interaction,Improve robot or embodied perception under incomplete observations.,Learned visual representation or sequence model trained from labeled experience.,training distribution covers relevant occlusion geometry; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Unlike previous studies on the Metaverse based on Second Life, the current Metaverse is based on the social value of Generation Z that online and offline selves are not different. With the technological development of deep learning-based high-precision recognition models and natural generation models, Metaverse is being strengthened with various factors, from mobile-based always-on access to connectivity with reality using virtual currency. The integration of enhanced social activities and neural-net methods requires a new definition of Metaverse suitable for the present, different from the previous Metaverse. This paper divides the concepts and essential techniques necessary for realizin...",46.696,46.696
588,landscape,,The Embodiment of Cockroach Aggregation Behavior in a Group of Micro-robots,2008,Artificial Life,Simon Garnier; Christian Jost; Jacques Gautrais; Masoud Asadpour; et al.,https://doi.org/10.1162/artl.2008.14.4.14400,https://doi.org/10.1162/artl.2008.14.4.14400,87,robotic perception object occlusion tracking,openalex,Robot; German cockroach; Cockroach; Computer science; Perception; German,Improve robot or embodied perception under incomplete observations.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","We report the faithful reproduction of the self-organized aggregation behavior of the German cockroach Blattella germanica with a group of robots. We describe the implementation of the biological model provided by Jeanson et al. in Alice robots, and we compare the behaviors of the cockroaches and the robots using the same experimental and analytical methodology. We show that the aggregation behavior of the German cockroach was successfully transferred to the Alice robot despite strong differences between robots and animals at the perceptual, actuatorial, and computational levels. This article highlights some of the major constraints one may encounter during such a work and proposes genera...",46.611,54.611
589,landscape,,Object Detection in UAV Images via Global Density Fused Convolutional Network,2020,Remote Sensing,Ruiqian Zhang; Zhenfeng Shao; Xiao Huang; Jiaming Wang; et al.,https://doi.org/10.3390/rs12193140,https://doi.org/10.3390/rs12193140,87,robotic perception object occlusion tracking,openalex,Computer science; Artificial intelligence; Robustness (evolution); Object detection; Computer vision; Object (grammar),Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Object detection in Unmanned Aerial Vehicle (UAV) images plays fundamental roles in a wide variety of applications. As UAVs are maneuverable with high speed, multiple viewpoints, and varying altitudes, objects in UAV images are distributed with great heterogeneity, varying in size, with high density, bringing great difficulty to object detection using existing algorithms. To address the above issues, we propose a novel global density fused convolutional network (GDF-Net) optimized for object detection in UAV images. We test the effectiveness and robustness of the proposed GDF-Nets on the VisDrone dataset and the UAVDT dataset. The designed GDF-Net consists of a Backbone Network, a Global...",46.611,46.611
590,landscape,,Deep features fusion for KCF-based moving object tracking,2023,Journal Of Big Data,Devira Anggi Maharani; Carmadi Machbub; Lenni Yulianti; Pranoto Hidaya Rusmin,https://doi.org/10.1186/s40537-023-00813-5,https://doi.org/10.1186/s40537-023-00813-5,14,robotic perception object occlusion tracking,openalex,Artificial intelligence; Computer science; Grayscale; Computer vision; Robustness (evolution); Feature (linguistics),Maintain object identity and state through missed or ambiguous detections.,Learned visual representation or sequence model trained from labeled experience.,misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Abstract Real-time object tracking and occlusion handling are critical research areas in computer vision and machine learning. Developing an efficient and accurate object-tracking method that can operate in real-time while handling occlusion is essential for various applications, including surveillance, autonomous driving, and robotics. However, relying solely on a single hand-crafted feature results in less robust tracking. As a hand-crafted feature extraction technique, HOG effectively detects edges and contours, which is essential in localizing objects in images. However, it does not capture fine details in object appearance and is sensitive to changes in lighting conditions. On the ot...",46.604,62.604
591,landscape,,The Notion of Dynamic Unit: Conceptual Developments in Cognitive Science,1998,Cognitive Science,Nili Mandelblit; Oron Zachar,https://doi.org/10.1207/s15516709cog2202_3,https://doi.org/10.1207/s15516709cog2202_3,14,object permanence embodied agents robotics,openalex,Connectionism; Cognitive science; Cognition; Set (abstract data type); Computer science; Domain (mathematical analysis),Improve robot or embodied perception under incomplete observations.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","We suggest a common ground for alternative proposals In different domains of cognitive science which have previously seemed to have little in common. The underlying common theme is associated with a redefinition of the basic unit of analysis in each domain of thought. Our framework suggests a definition of unity which is based not on inherent properties of the elements constituting the unit, but rather on dynamic patterns of correlation across the elements. We introduce a set of features that characterize the new dynamic units, and distinguish them from traditional units of analysis. A conceptual connection is made with the identification of elementary units in modern physics theories, as...",46.604,46.604
592,landscape,,Instant Object Detection in Lidar Point Clouds,2017,IEEE Geoscience and Remote Sensing Letters,Attila Borcs; Balazs Nagy; Csaba Benedek,https://doi.org/10.1109/lgrs.2017.2674799,https://doi.org/10.1109/lgrs.2017.2674799,86,robotic perception object occlusion tracking,openalex,Lidar; Point cloud; Computer science; Artificial intelligence; Computer vision; Object detection,Improve robot or embodied perception under incomplete observations.,Learned visual representation or sequence model trained from labeled experience.,enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","In this letter, we present a new approach for object classification in continuously streamed Lidar point clouds collected from urban areas. The input of our framework is raw 3-D point cloud sequences captured by a Velodyne HDL-64 Lidar, and we aim to extract all vehicles and pedestrians in the neighborhood of the moving sensor. We propose a complete pipeline developed especially for distinguishing outdoor 3-D urban objects. First, we segment the point cloud into regions of ground, short objects (i.e., low foreground), and tall objects (high foreground). Then, using our novel two-layer grid structure, we perform efficient connected component analysis on the foreground regions, for producin...",46.592,46.592
593,landscape,,A Method for 6D Pose Estimation of Free-Form Rigid Objects Using Point Pair Features on Range Data,2018,Sensors,Joel Vidal; ChyiYeu Lin; Xavier Llado; Robert Marti,https://doi.org/10.3390/s18082678,https://doi.org/10.3390/s18082678,86,occlusion aware object tracking robotics,openalex,Pose; Computer science; Artificial intelligence; Preprocessor; Pattern recognition (psychology); Discriminative model,Estimate object pose robustly enough for robot manipulation.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Pose estimation of free-form objects is a crucial task towards flexible and reliable highly complex autonomous systems. Recently, methods based on range and RGB-D data have shown promising results with relatively high recognition rates and fast running times. On this line, this paper presents a feature-based method for 6D pose estimation of rigid objects based on the Point Pair Features voting approach. The presented solution combines a novel preprocessing step, which takes into consideration the discriminative value of surface information, with an improved matching method for Point Pair Features. In addition, an improved clustering step and a novel view-dependent re-scoring process are p...",46.592,54.592
594,landscape,,"A Survey of Augmented Reality Technologies, Applications and Limitations",2010,International Journal of Virtual Reality,D. W. F. van Krevelen; Ronald Poelman,https://doi.org/10.20870/ijvr.2010.9.2.2767,https://doi.org/10.20870/ijvr.2010.9.2.2767,1644,robotic perception object occlusion tracking,openalex,Augmented reality; Computer science; Data science; Human-computer interaction,Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","A Survey of Augmented Reality Technologies, Applications and Limitations",46.589,46.589
595,landscape,,INVIGORATE: Interactive Visual Grounding and Grasping in Clutter,2021,,Hanbo Zhang; Yunfan Lu; Cunjun Yu; David Hsu; et al.,https://doi.org/10.15607/rss.2021.xvii.020,https://doi.org/10.15607/rss.2021.xvii.020,47,robot self occlusion perception manipulation,openalex,Clutter; Computer science; Ground; Artificial intelligence; Computer vision; Human-computer interaction,Maintain object identity and state through missed or ambiguous detections.,Learned visual representation or sequence model trained from labeled experience.,misses are tolerable with a fixed temporal patience window; the robot can afford extra sensing actions before acting; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; sensing cost model; occluder semantics,identity deletion during long robot self-occlusion; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","This paper presents INVIGORATE, a robot system that interacts with human through natural language and grasps a specified object in clutter. The objects may occlude, obstruct, or even stack on top of one another. INVIGORATE embodies several challenges: (i) infer the target object among other occluding objects, from input language expressions and RGB images, (ii) infer object blocking relationships (OBRs) from the images, and (iii) synthesize a multi-step plan to ask questions that disambiguate the target object and to grasp it successfully. We train separate neural networks for object detection, for visual grounding, for question generation, and for OBR detection and grasping. They allow f...",46.581,46.581
596,landscape,,Convolutional Neural Network-Based Visual Servoing for Eye-to-Hand Manipulator,2021,IEEE Access,Fuyuki Tokuda; Shogo Arai; Kazuhiro Kosuge,https://doi.org/10.1109/access.2021.3091737,https://doi.org/10.1109/access.2021.3091737,46,6D object pose tracking manipulation occlusion,openalex,Visual servoing; Artificial intelligence; Computer science; Computer vision; Convolutional neural network; Robot end effector,Estimate object pose robustly enough for robot manipulation.,Learned visual representation or sequence model trained from labeled experience.,enough object surface remains visible to constrain pose; training distribution covers relevant occlusion geometry; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","We propose a CNN based visual servoing scheme for precise positioning of an eye-to-hand manipulator in which the control input of a robot is calculated directly from images by a neural network. In this paper, we propose Difference of Encoded Features driven Interaction matrix Network (DEFINet), a new convolutional neural network (CNN), for eye-to-hand visual servoing. DEFINet estimates a relative pose between desired and current end-effector from desired and current images captured by an eye-to-hand camera. DEFINet includes two branches of the same CNN that share weights and encode target and current images, which is inspired by the architecture of Siamese network. Regression of the relat...",46.545,46.545
597,landscape,,Cognitive Fusion of Thermal and Visible Imagery for Effective Detection and Tracking of Pedestrians in Videos,2017,Cognitive Computation,Yijun Yan; Jinchang Ren; Huimin Zhao; Genyun Sun; et al.,https://doi.org/10.1007/s12559-017-9529-6,https://doi.org/10.1007/s12559-017-9529-6,83,robotic perception object occlusion tracking,openalex,Artificial intelligence; Computer science; Computer vision; Background subtraction; RGB color model; Object detection,Maintain object identity and state through missed or ambiguous detections.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",misses are tolerable with a fixed temporal patience window; enough object surface remains visible to constrain pose; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; object geometry or pose prior; occluder semantics,identity deletion during long robot self-occlusion; pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","In this paper, we present an efficient framework to cognitively detect and track salient objects from videos. In general, colored visible image in red-green-blue (RGB) has better distinguishability in human visual perception, yet it suffers from the effect of illumination noise and shadows. On the contrary, the thermal image is less sensitive to these noise effects though its distinguishability varies according to environmental settings. To this end, cognitive fusion of these two modalities provides an effective solution to tackle this problem. First, a background model is extracted followed by a two-stage background subtraction for foreground detection in visible and thermal images. To d...",46.532,62.532
598,landscape,,Sustainable Robots 4D Printing,2023,Advanced Sustainable Systems,Hesam Soleimanzadeh; Bernard Rolfe; Mahdi Bodaghi; Marzieh Jamalabadi; et al.,https://doi.org/10.1002/adsu.202300289,https://doi.org/10.1002/adsu.202300289,83,robotic perception object occlusion tracking,openalex,Soft robotics; Robot; Automation; Robotics; Artificial intelligence; Computer science,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Abstract Nature frequently serves as an inspiration for modern robotics innovations that emphasize secure human-machine interaction. However, the advantages of increased automation and digital technology integration conflict with the global environmental objectives. Accordingly, biodegradable soft robots have been proposed for a range of intelligent applications. Biodegradability provides soft robotics with an extraordinary functional advantage for operations involving intelligent shape transformation in response to external stimuli such as heat, pH, and light. Soft robot fabrication using conventional manufacturing techniques is inflexible, timeconsuming, and laborintensive. Recent advan...",46.532,46.532
599,landscape,,Global estimation of an object's pose using tactile sensing,2015,Advanced Robotics,Joao Bimbo; Petar Kormushev; Kaspar Althoefer; Hongbin Liu,https://doi.org/10.1080/01691864.2014.1002531,https://doi.org/10.1080/01691864.2014.1002531,45,6D object pose tracking manipulation occlusion,openalex,Pose; Computer vision; Artificial intelligence; Object (grammar); Robot; Computer science,Estimate object pose robustly enough for robot manipulation.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","It is essential for a successful completion of a robot object grasping and manipulation task to accurately sense the manipulated object's pose. Typically, computer vision is used to obtain this information, but it may not be available or be reliable in certain situations. This paper presents a global optimisation method where tactile and force sensing together with the robot's proprioceptive data are used to find an object's pose. This method is used to either improve an estimate of the object's pose given by vision or globally estimating it when no vision is available. Results show that the proposed method consistently improves an initial estimate (e.g. from vision) and is also able to f...",46.509,46.509
600,landscape,,An automated apple harvesting robot-From system design to field evaluation,2023,Journal of Field Robotics,Kaixiang Zhang; Kyle Lammers; Pengyu Chu; Zhaojian Li; et al.,https://doi.org/10.1002/rob.22268,https://doi.org/10.1002/rob.22268,81,robotic perception object occlusion tracking,openalex,Robot; Orchard; Automation; Software; Component (thermodynamics); Computer science,Improve robot or embodied perception under incomplete observations.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Abstract Decreased availability and rising cost in labor poses a serious threat to the longterm profitability and sustainability of the apple industry in the United States and many other countries. Harvest automation is thus urgently needed. In this paper, we present the unified system design and field evaluation of a new apple harvesting robot. The robot is mainly composed of a specially designed perception component, a fourdegreeoffreedom manipulator, an improved vacuumbased soft endeffector, and a dropping/catching component to receive and transport picked fruits. Software algorithms are developed to enable synergistic coordination of the hardware components for efficient, automated ha...",46.491,46.491
601,landscape,,"Multisensory Museums, Hybrid Realities, Narration, and Technological Innovation: A Discussion Around New Perspectives in Experience Design and Sense of Authenticity",2025,Heritage,Eva Pietroni,https://doi.org/10.3390/heritage8040130,https://doi.org/10.3390/heritage8040130,13,object permanence embodied agents robotics,openalex,Narrative; Aesthetics; Sense of place; Sociology; Art; Visual arts,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","This paper examines multisensory museums, envisioned as extended or hybrid realities where the physical and digital coexist to offer cognitively and emotionally engaging experiences to the public, while enhancing the sense of authenticity. Multisensory communication can improve accessibility, as it conveys the content through multiple perceptual channels, and it can solicit more inclusive, participatory, and creative audience engagement through the stimulation of emotions. A methodological approach to digitisation, communication strategies, interaction, creative storytelling, immersive technologies, and accessibility issues are discussed in depth, in relation to emerging museological prac...",46.486,46.486
602,landscape,,"Music and the Transhuman Ear: Ultrasonics, Material Bodies, and the Limits of Sensation",2017,The Musical Quarterly,David Trippett,https://doi.org/10.1093/musqtl/gdy001,https://doi.org/10.1093/musqtl/gdy001,13,object permanence embodied agents robotics,openalex,Sensation; Acoustics; Audiology; Art; Psychology; Medicine,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; camera occlusion generalizes to robot-body occlusion; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Amid recent moves toward sound as vibrational force, this article argues that hearing has a special role in determining our natural sensory limits, and that recent attempts to push against these limits foreground the underlying matter of what status the biological body has in music perception and performance during the technological age. Between 1876 and 1894, prominent German acousticians-including Helmholtz-argued that humans could hear vibrations as high as 40,960Hz. While this was ultimately discredited, recent post-tonal works have notated pitches that explicitly play with, or exceed, the ordinary range of human hearing; (cf. Schoenberg, Per Nrgard, and Salvatore Sciarrino). In the c...",46.486,46.486
603,landscape,,Contextaware hand gesture interaction for human-robot collaboration in construction,2024,Computer-Aided Civil and Infrastructure Engineering,Xin Wang; Dharmaraj Veeramani; Fei Dai; Zhenhua Zhu,https://doi.org/10.1111/mice.13202,https://doi.org/10.1111/mice.13202,13,occlusion aware object tracking robotics,openalex,Gesture; Human-computer interaction; Context (archaeology); Human-robot interaction; Robot; Computer science,Improve robot or embodied perception under incomplete observations.,View selection or information-gain planning to expose hidden state.,enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Construction robots play a pivotal role in enabling intelligent processes within the construction industry. User-friendly interfaces that facilitate efficient human-robot collaboration are essential for promoting robot adoption. However, most of the existing interfaces do not consider contextual information in the collaborative environment. The situation where humans and robots work together in the same jobsite creates a unique environmental context. Overlooking contextual information would limit the potential to optimize interaction efficiency. This paper proposes a novel context-aware method that utilizes a two-stream network to enhance human-robot interaction in construction settings....",46.486,46.486
604,landscape,,Exploiting Three-Dimensional Gaze Tracking for Action Recognition During Bimanual Manipulation to Enhance Human-Robot Collaboration,2018,Frontiers in Robotics and AI,Alireza Haji Fathaliyan; Xiaoyu Wang; Veronica J. Santos,https://doi.org/10.3389/frobt.2018.00025,https://doi.org/10.3389/frobt.2018.00025,24,robotic perception object occlusion tracking,openalex,Gaze; Computer science; Artificial intelligence; Computer vision; Fixation (population genetics); Eye tracking,Build a spatial memory that remains useful as the robot moves through the world.,Detection association plus temporal propagation across frames.,misses are tolerable with a fixed temporal patience window; object absence can wait for later map revisits; the cause of a missing detection is not represented as robot-action evidence,camera calibration; deletion patience; map update schedule; occluder semantics,identity deletion during long robot self-occlusion; stale object map entries during manipulation; confusing clear-view absence with robot-caused invisibility,General temporal persistence and missed-detection handling.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Human-robot collaboration could be advanced by facilitating the intuitive, gaze-based control of robots, and enabling robots to recognize human actions, infer human intent, and plan actions that support human goals. Traditionally, gaze tracking approaches to action recognition have relied upon computer vision-based analyses of two-dimensional egocentric camera videos. The objective of this study was to identify useful features that can be extracted from three-dimensional (3D) gaze behavior and used as inputs to machine learning algorithms for human action recognition. We investigated human gaze behavior and gaze-object interactions in 3D during the performance of a bimanual, instrumental...",46.472,54.472
605,landscape,,Task-Level Authoring for Remote Robot Teleoperation,2021,Frontiers in Robotics and AI,Emmanuel Senft; Michael Hagenow; Kevin Welsh; Robert Radwin; et al.,https://doi.org/10.3389/frobt.2021.707149,https://doi.org/10.3389/frobt.2021.707149,24,occlusion aware object tracking robotics,openalex,Teleoperation; Computer science; Human-computer interaction; Programming by demonstration; Robot; Usability,Improve robot or embodied perception under incomplete observations.,Task-specific perception model over partial observations.,the cause of a missing detection is not represented as robot-action evidence,camera calibration; occluder semantics,confusing clear-view absence with robot-caused invisibility,The broad claim that robots need memory under partial observability.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","Remote teleoperation of robots can broaden the reach of domain specialists across a wide range of industries such as home maintenance, health care, light manufacturing, and construction. However, current direct control methods are impractical, and existing tools for programming robot remotely have focused on users with significant robotic experience. Extending robot remote programming to end users, i.e., users who are experts in a domain but novices in robotics, requires tools that balance the rich features necessary for complex teleoperation tasks with ease of use. The primary challenge to usability is that novice users are unable to specify complete and robust task plans to allow a robo...",46.472,46.472
606,landscape,,Stretchable glove for accurate and robust hand pose reconstruction based on comprehensive motion data,2024,Nature Communications,Myungsun Park; T.H. Park; S Park; Sohee John Yoon; et al.,https://doi.org/10.1038/s41467-024-50101-w,https://doi.org/10.1038/s41467-024-50101-w,44,6D object pose tracking manipulation occlusion,openalex,Wired glove; Computer science; Motion (physics); Computer vision; Artificial intelligence; Motion capture,Improve robot or embodied perception under incomplete observations.,"Pose registration, keypoint, correspondence, or dense alignment mechanism.",enough object surface remains visible to constrain pose; the cause of a missing detection is not represented as robot-action evidence,camera calibration; object geometry or pose prior; occluder semantics,pose drift when the gripper hides the discriminative surface; confusing clear-view absence with robot-caused invisibility,Pose maintenance under partial visibility.,"A mechanism that treats robot self-occlusion as an action-conditioned certificate for when a missing detection should preserve, not delete, object state.","We propose a compact wearable glove capable of estimating both the finger bone lengths and the joint angles of the wearer with a simple stretch-based sensing mechanism. The soft sensing glove is designed to easily stretch and to be one-size-fits-all, both measuring the size of the hand and estimating the finger joint motions of the thumb, index, and middle fingers. The system was calibrated and evaluated using comprehensive hand motion data that reflect the extensive range of natural human hand motions and various anatomical structures. The data were collected with a custom motion-capture setup and transformed into the joint angles through our post-processing method. The glove system is c...",46.471,46.471
